ident check:compound
collect transform:dep
transform collect:dep
collect result:obj
entri key:compound
key entri:compound
pass key:nsubj
valu key:conj
key valu:conj
pass valu:nsubj
pass object:nsubj
find entri:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
entri key:compound
key entri:compound
pass key:nsubj
valu key:conj
key valu:conj
pass valu:nsubj
pass object:nsubj
closur result:compound
result closur:compound
result return:dep
return result:dep
map entri:compound
entri map:compound
pass entri:obj
pass closur:obl
entri key:compound
key entri:compound
pass key:nsubj
valu key:conj
key valu:conj
pass valu:nsubj
pass object:nsubj
find valu:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
find valu:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
find valu:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
find element:obj
array element:nmod
element array:nmod
match array:acl
closur condit:compound
condit closur:compound
match condit:obj
find item:obj
match find:xcomp
find match:xcomp
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
find item:obj
match find:xcomp
find match:xcomp
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
find item:obj
match find:xcomp
find match:xcomp
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
find element:obj
array element:nmod
element array:nmod
match array:acl
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
find item:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
find item:obj
match find:xcomp
find match:xcomp
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
true return:dep
true return:dep
array element:nmod
element array:nmod
iter variant:compound
variant iter:compound
modifi collect:obj
remov modifi:advcl
modifi remov:advcl
remov element:obj
object array:compound
array object:compound
grep find:conj
find grep:conj
produc list:obj
match item:acl
match criteria:obj
leav match:advcl
match leav:advcl
origin collect:amod
leav collect:obj
unchang leav:xcomp
leav unchang:xcomp
modifi collect:obj
retain modifi:advcl
modifi retain:advcl
retain element:obj
remov word:obl
remov collect:obl
grep find:conj
produc list:obj
match item:acl
match item:obj
leav find:acl
origin collect:amod
leav collect:obj
unchang leav:xcomp
leav unchang:xcomp
modifi collect:obj
retain modifi:advcl
modifi retain:advcl
retain element:obj
match element:acl
closur condit:compound
condit closur:compound
match condit:obl
remov word:obl
remov collect:obl
grep find:conj
find grep:conj
produc list:obj
match item:acl
match criteria:obj
leav find:acl
origin collect:amod
leav collect:obj
unchang leav:xcomp
leav unchang:xcomp
modifi collect:obj
remov modifi:advcl
modifi remov:advcl
remov element:obj
match element:acl
closur condit:compound
condit closur:compound
match condit:obl
grep find:conj
find grep:conj
produc list:obj
match item:acl
match criteria:obj
leav match:advcl
match leav:advcl
origin collect:amod
leav collect:obj
unchang leav:xcomp
leav unchang:xcomp
modifi collect:obj
ad modifi:advcl
modifi ad:advcl
ad array:obl
collect array:nmod
array collect:nmod
undefin behavior:nsubj
oper behavior:nmod
behavior oper:nmod
modifi array:nsubj
modifi undefin:advcl
undefin modifi:advcl
oper progress:nsubj
progress oper:nsubj
modifi progress:advcl
produc collect:obj
addit item:amod
leav collect:dep
origin collect:amod
leav collect:obj
unchang leav:xcomp
leav unchang:xcomp
split item:obj
split list:obl
base condit:case
closur condit:compound
condit closur:compound
condit list:nmod
list condit:nmod
closur express:compound
express closur:compound
match express:obj
split item:obj
split collect:obl
base condit:case
closur condit:compound
condit closur:compound
condit collect:nmod
collect condit:nmod
match item:acl
closur express:compound
express closur:compound
match express:obj
split item:obj
split collect:obl
base condit:case
closur condit:compound
condit closur:compound
condit collect:nmod
collect condit:nmod
match item:acl
closur express:compound
express closur:compound
match express:obj
split item:obj
split collect:obl
base condit:case
closur condit:compound
condit closur:compound
condit collect:nmod
collect condit:nmod
match item:acl
closur express:compound
express closur:compound
match express:obj
iter version:compound
version iter:compound
combin version:nmod
version combin:nmod
iter method:nmod
method iter:nmod
iter closur:compound
closur iter:compound
collect method:nmod
method collect:nmod
appli function:obj
combin function:nmod
function combin:nmod
input list:compound
list input:compound
list combin:nmod
combin list:nmod
find subsequ:obj
list subsequ:nmod
subsequ list:nmod
find permut:obj
iter permut:nmod
permut iter:nmod
iter version:compound
version iter:compound
permut version:nmod
version permut:nmod
find permut:obj
iter permut:nmod
appli find:conj
find appli:conj
appli function:obj
appli permut:obl
collect find:conj
find collect:conj
collect result:obj
collect list:obl
iter version:compound
version iter:compound
permut version:nmod
version permut:nmod
iter version:compound
version iter:compound
permut version:nmod
version permut:nmod
run iter:nsubj
permut iter:nmod
iter permut:nmod
collect permut:nmod
permut collect:nmod
run closur:obj
iter closur:nmod
closur iter:nmod
groovi collect list:nsubj
list groovi collect:nsubj
add list:xcomp
method list:nmod
list method:nmod
list method:nmod
method list:nmod
transpos function:compound
function transpos:compound
return function:nsubj
column collect:nmod
collect column:nmod
return collect:obj
row collect:nmod
collect row:nmod
consist row:nsubj
consist element:obl
column element:nmod
element column:nmod
success row:amod
construct row:nsubj
find entri:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
key paramet:acl
paramet key:acl
valu paramet:acl
paramet valu:acl
valu key:conj
key valu:conj
link hash map tree map:conj
tree map link hash map:conj
hashtabl tree map:conj
tree map hashtabl:conj
properti tree map:conj
tree map properti:conj
return map:amod
preserv map:nsubj
preserv type:obj
return hash map:nsubj
return preserv:parataxis
preserv return:parataxis
iter version:compound
version iter:compound
group version:nmod
version group:nmod
iter member:compound
member iter:compound
member sort:dep
sort member:dep
group sort:obl
sort group:obl
determin group:acl
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
return closur:nsubj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
return link hash map:amod
distinct key:amod
key distinct:amod
key entri:nmod
return key:acl
key return:acl
return closur:obl
valu list:nsubj
list valu:nsubj
return list:advcl
item list:nmod
list item:nmod
group item:nmod
item group:nmod
array member:compound
member array:compound
member sort:dep
sort member:dep
group member:nmod
member group:nmod
determin group:acl
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
return closur:nsubj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
return link hash map:amod
distinct key:amod
key distinct:amod
key entri:nmod
return key:acl
key return:acl
return closur:obl
valu list:nsubj
list valu:nsubj
return list:advcl
item list:nmod
list item:nmod
group item:nmod
item group:nmod
iter version:compound
version iter:compound
group version:nmod
version group:nmod
determin sort:nsubj
array member:compound
member array:compound
member sort:dep
sort member:dep
group member:nmod
member group:nmod
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
iter variant:compound
variant iter:compound
variant closur:nmod
closur variant:nmod
method variant:nmod
variant method:nmod
iter version:compound
version iter:compound
group version:nmod
version group:nmod
determin sort:nsubj
array member:compound
member array:compound
member sort:dep
sort member:dep
group member:nmod
member group:nmod
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
list variant:compound
variant list:compound
variant closur:nmod
closur variant:nmod
method variant:nmod
variant method:nmod
iter version:compound
version iter:compound
count version:nmod
version count:nmod
determin sort:nsubj
count sort:nsubj
collect member:compound
member collect:compound
member sort:dep
sort member:dep
group member:nmod
member group:nmod
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
count determin:conj
determin count:conj
group size:compound
size group:compound
count size:obj
return closur:nsubj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
return map:amod
distinct key:amod
key distinct:amod
key entri:nmod
return key:acl
key return:acl
return closur:obl
valu frequenc:nsubj
frequenc valu:nsubj
return frequenc:advcl
item frequenc:nmod
frequenc item:nmod
occur item:acl
occur group:obl
determin sort:nsubj
count sort:nsubj
array member:compound
member array:compound
member sort:dep
sort member:dep
group member:nmod
member group:nmod
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
count determin:conj
determin count:conj
group size:compound
size group:compound
count size:obj
return closur:nsubj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
return map:amod
distinct key:amod
key distinct:amod
key entri:nmod
return key:acl
key return:acl
return closur:obl
valu frequenc:nsubj
frequenc valu:nsubj
return frequenc:advcl
item frequenc:nmod
frequenc item:nmod
occur item:acl
occur group:obl
determin sort:nsubj
count sort:nsubj
iter item:compound
item iter:compound
item sort:dep
sort item:dep
group item:nmod
item group:nmod
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
count determin:conj
determin count:conj
group size:compound
size group:compound
count size:obj
return closur:nsubj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
return map:amod
distinct key:amod
key distinct:amod
key entri:nmod
return key:acl
key return:acl
return closur:obl
valu frequenc:nsubj
frequenc valu:nsubj
return frequenc:advcl
item frequenc:nmod
frequenc item:nmod
occur item:acl
occur group:obl
map group:nsubj
map entri:obj
map group:obl
determin group:acl
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
pass closur:nsubj
return closur:nsubj
pass key:obj
valu key:conj
key valu:conj
depend number:case
accept number:advcl
paramet number:nmod
number paramet:nmod
accept closur:nsubj
accept pass:parataxis
pass accept:parataxis
return pass:conj
pass return:conj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
result map:amod
group entri:nmod
entri group:nmod
key group:dep
return group:acl
return closur:obl
valu list:nsubj
list valu:nsubj
return list:advcl
map entri:compound
entri map:compound
entri list:nmod
list entri:nmod
belong entri:acl
belong group:obl
map entri:compound
entri map:compound
entri list:nmod
list entri:nmod
group code:compound
code group:compound
determin group:nsubj
count group:nsubj
member group:dep
group member:dep
map member:nmod
member map:nmod
group map:nmod
map group:nmod
suppli closur:amod
map closur:compound
closur map:compound
determin closur:obl
count determin:conj
determin count:conj
count frequenc:obj
creat group:amod
group frequenc:nmod
frequenc group:nmod
pass closur:nsubj
return closur:nsubj
pass key:obj
valu key:conj
key valu:conj
depend number:case
accept number:advcl
paramet number:nmod
number paramet:nmod
accept closur:nsubj
accept pass:parataxis
pass accept:parataxis
return pass:conj
pass return:conj
return key:obj
group item:nsubj
group return:ccomp
return group:ccomp
result map:amod
group entri:nmod
entri group:nmod
key count:nsubj
count key:nsubj
return key:acl
key return:acl
return closur:obl
valu frequenc:nsubj
frequenc valu:nsubj
return frequenc:advcl
count group:acl
count group:obl
current group:dep
element group:parataxis
group element:parataxis
valu element:dep
element valu:dep
perform function:obj
perform version:obl
inject version:acl
initi valu:amod
collect head:nmod
head collect:nmod
initi valu:amod
iter inject:ccomp
inject iter:ccomp
iter tail:obl
iter map:obl
pass iter:parataxis
iter pass:parataxis
initi valu:amod
pass valu:obl
arg closur:compound
closur arg:compound
pass closur:obl
iter item:obl
arg closur:compound
closur arg:compound
iter closur:obl
closur item:conj
item closur:conj
key closur:nmod
closur key:nmod
valu closur:nmod
closur valu:nmod
valu key:conj
key valu:conj
pass result:nsubj
inject pass:ccomp
pass inject:ccomp
pass closur:obl
pass item:obl
inject result:nsubj
inject closur:obl
entir collect:amod
function parlanc:amod
reduc parlanc:obl
pass iter:xcomp
iter pass:xcomp
initi valu:amod
pass valu:obl
pass closur:obl
pass result:nsubj
inject pass:ccomp
pass inject:ccomp
pass closur:obl
pass item:obl
inject result:nsubj
inject closur:obl
inject item:dep
expir iter:nsubj
expir valu:obl
function parlanc:amod
parlanc fold left:nmod
fold left parlanc:nmod
iter object:obl
pass object:acl
pass valu:obl
pass closur:obl
pass result:nsubj
inject pass:ccomp
pass inject:ccomp
pass closur:obl
pass item:obl
inject result:nsubj
inject closur:obl
object iter:nmod
iter object:nmod
function parlanc:amod
parlanc fold left:nmod
fold left parlanc:nmod
iter object:obl
pass object:acl
initi valu:amod
pass valu:obl
pass closur:obl
pass result:nsubj
inject pass:ccomp
pass inject:ccomp
pass closur:obl
pass item:obl
inject result:nsubj
inject closur:obl
object iter:nmod
iter object:nmod
function parlanc:amod
parlanc fold left:nmod
fold left parlanc:nmod
iter array:obl
inject array:acl
inject object:obj
initi valu closur:dep
closur initi valu:dep
iter closur:dep
array element:nmod
element array:nmod
initi valu array:nmod
array initi valu:nmod
remain element:amod
iter element:obj
array element:nmod
element array:nmod
iter array:obl
pass array:acl
initi valu:amod
pass valu:obl
pass closur:obl
pass result:nsubj
inject pass:ccomp
pass inject:ccomp
pass closur:obl
pass item:obl
inject result:nsubj
inject closur:obl
array element:nmod
element array:nmod
function parlanc:amod
parlanc fold left:nmod
fold left parlanc:nmod
iter version:compound
version iter:compound
sum version:nmod
version sum:nmod
item sum:dep
sum item:dep
iter item:nmod
item iter:nmod
invok equival:advcl
equival invok:advcl
invok method:obj
invok item:obl
iter item:nmod
item iter:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
invok equival:advcl
equival invok:advcl
invok method:obj
invok item:obl
array item:nmod
item array:nmod
item sum:dep
sum item:dep
iter item:nmod
item iter:nmod
invok equival:advcl
equival invok:advcl
invok method:obj
invok item:obl
iter item:nmod
item iter:nmod
exhaust element:obl
sum valu:compound
valu sum:compound
determin valu:obj
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item sum:dep
sum item:dep
array item:nmod
item array:nmod
iter version:compound
version iter:compound
sum version:nmod
version sum:nmod
item sum:dep
sum item:dep
iter item:nmod
item iter:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
iter item:nmod
item iter:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
invok equival:advcl
equival invok:advcl
invok method:obj
invok item:obl
iter item:nmod
item iter:nmod
exhaust element:obl
sum valu:compound
valu sum:compound
determin valu:obj
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
item sum:dep
sum item:dep
array item:nmod
item array:nmod
ad sum:acl
ad result:obj
initi valu:amod
ad valu:obl
iter version:compound
version iter:compound
sum version:nmod
version sum:nmod
appli sum:nsubj
result sum:nmod
sum result:nmod
appli closur:obj
appli item:obl
iter item:nmod
item iter:nmod
equival closur:nsubj
equival closur:dep
iter item:nmod
item iter:nmod
appli sum:nsubj
result sum:nmod
sum result:nmod
appli closur:obj
appli item:obl
array item:nmod
item array:nmod
equival closur:dep
array item:nmod
item array:nmod
return sum:nsubj
result sum:dep
sum result:dep
appli sum:acl
appli closur:obj
appli item:obl
return iter:obl
equival closur:dep
exhaust element:obl
sum valu:compound
valu sum:compound
determin valu:obj
iter item:nmod
item iter:nmod
iter version:compound
version iter:compound
sum version:nmod
version sum:nmod
result sum:dep
sum result:dep
appli result:acl
appli closur:obj
appli item:obl
iter item:nmod
item iter:nmod
initi valu:amod
appli valu:obl
closur init val:appos
init val closur:appos
equival closur:dep
init val sum:dep
sum init val:dep
collect item:nmod
item collect:nmod
result sum:dep
sum result:dep
appli result:acl
appli closur:obj
appli item:obl
array item:nmod
item array:nmod
initi valu:amod
appli valu:obl
closur init val:appos
init val closur:appos
equival closur:dep
init val sum:dep
sum init val:dep
array item:nmod
item array:nmod
result sum:dep
sum result:dep
appli result:acl
appli closur:obj
appli item:obl
iter item:nmod
item iter:nmod
initi valu:amod
appli valu:obl
closur init val:appos
init val closur:appos
equival closur:dep
init val sum:dep
sum init val:dep
exhaust element:obl
sum valu:compound
valu sum:compound
determin valu:obj
iter item:nmod
item iter:nmod
string represent:compound
represent string:compound
concaten represent:obl
item represent:dep
represent item:dep
iter item:nmod
item iter:nmod
string item:nmod
item string:nmod
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
exhaust element:obl
result valu:amod
conjoin valu:amod
determin valu:obj
iter version:compound
version iter:compound
join version:acl
string represent:compound
represent string:compound
concaten represent:obl
item represent:dep
represent item:dep
iter item:nmod
item iter:nmod
string item:nmod
item string:nmod
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obl
item represent:dep
represent item:dep
array item:nmod
item array:nmod
string item:nmod
item string:nmod
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
string represent:compound
represent string:compound
concaten represent:obj
item represent:nmod
represent item:nmod
array item:nmod
item array:nmod
concaten string:obl
separ string:nmod
string separ:nmod
item separ:nmod
separ item:nmod
iter version:compound
version iter:compound
min version:nmod
version min:nmod
min method:compound
method min:compound
add method:obl
collect object:compound
object collect:compound
object method:obl
method object:obl
min method:compound
method min:compound
add method:obl
iter object:compound
object iter:compound
object method:obl
method object:obl
exhaust element:obl
minimum valu:amod
determin valu:obj
min method:compound
method min:compound
add method:obl
object array:compound
array object:compound
array method:dep
method array:dep
iter version:compound
version iter:compound
min version:nmod
version min:nmod
minimum valu:amod
select valu:obj
minimum valu:amod
select valu:obj
minimum valu:amod
select valu:obj
object array:compound
array object:compound
iter version:compound
version iter:compound
min version:nmod
version min:nmod
minimum valu:amod
select valu:obj
correct order:amod
determin order:obj
exhaust element:obl
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
minimum valu:amod
select valu:obj
object array:compound
array object:compound
correct order:amod
determin order:obj
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
iter version:compound
version iter:compound
max version:nmod
version max:nmod
max method:compound
method max:compound
add method:obl
iter object:compound
object iter:compound
object method:obl
method object:obl
max method:compound
method max:compound
add method:obl
iter object:compound
object iter:compound
object method:obl
method object:obl
exhaust element:obl
maximum valu:amod
determin valu:obj
max method:compound
method max:compound
add method:obl
object array:compound
array object:compound
array method:dep
method array:dep
iter version:compound
version iter:compound
max version:nmod
version max:nmod
maximum valu:amod
select valu:obj
correct order:amod
determin order:obj
exhaust element:obl
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
maximum valu:amod
select valu:obj
object array:compound
array object:compound
correct order:amod
determin order:obj
tradit compar:amod
compar paramet:obj
compar order:obl
return compar:obl
compar return:obl
return order:conj
negat integ:amod
return integ:obj
posit integ:amod
compar integ:obl
integ order:conj
order integ:conj
equal paramet:nsubj
greater paramet:nsubj
equal integ:acl
greater integ:acl
assum closur:nsubj
singl paramet:amod
return assum:xcomp
assum return:xcomp
compar return:obj
return compar:obj
compar integ:acl
iter version:compound
version iter:compound
max version:nmod
version max:nmod
maximum valu:amod
select valu:obj
maximum valu:amod
select valu:obj
maximum valu:amod
select valu:obj
object array:compound
array object:compound
return indic:compound
indic return:compound
collect indic:nmod
indic collect:nmod
return indic:compound
indic return:compound
array indic:nmod
indic array:nmod
standard method:amod
groovi method:amod
size method:compound
method size:compound
provid method:obl
iter method:dep
method iter:dep
exhaust element:obl
size valu:compound
valu size:compound
determin valu:obj
standard method:amod
groovi method:amod
size method:compound
method size:compound
provid method:obl
iter method:dep
method iter:dep
standard method:amod
groovi method:amod
size method:compound
method size:compound
provid method:obl
array method:dep
method array:dep
rang oper:compound
oper rang:compound
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
list oper:nmod
oper list:nmod
item list:nmod
list item:nmod
eager list:amod
lazi eager:conj
eager lazi:conj
lazi list:amod
list item:nmod
item list:nmod
identifi indic:obj
select identifi:advcl
identifi select:advcl
rang oper:compound
oper rang:compound
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
eager list:amod
lazi eager:conj
eager lazi:conj
lazi list:amod
list oper:nmod
oper list:nmod
rang oper:compound
oper rang:compound
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
eager list:amod
lazi eager:conj
eager lazi:conj
lazi list:amod
list oper:nmod
oper list:nmod
rang oper:compound
oper rang:compound
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
list oper:nmod
oper list:nmod
select list:obj
item list:nmod
list item:nmod
list item:nmod
item list:nmod
identifi indic:obj
select identifi:advcl
identifi select:advcl
select list:obj
item list:nmod
list item:nmod
array item:nmod
item array:nmod
identifi indic:obj
select identifi:advcl
identifi select:advcl
similar method:nsubj
index rang:compound
rang index:compound
rang key:conj
key rang:conj
similar method:nsubj
index rang:compound
rang index:compound
rang key:conj
key rang:conj
origin map:amod
unalt map:nsubj
map item:nmod
item map:nmod
key map:nmod
map key:nmod
return valu:obj
key entri:nmod
entri key:nmod
add case:nsubj
add key:acl
default valu:compound
valu default:compound
add valu:obj
add map:obl
add return:obl
return map:conj
map return:conj
exist entri:csubj
key entri:nmod
entri key:nmod
rang oper:compound
oper rang:compound
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
array oper:nmod
oper array:nmod
includ rang:case
rang oper:nmod
oper rang:nmod
valu rang:nmod
rang valu:nmod
includ rang:xcomp
includ valu:obl
includ rang:xcomp
includ valu:obl
array convers:nmod
convers array:nmod
mutabl list:amod
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
list oper:nmod
oper list:nmod
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
iter oper:nmod
oper iter:nmod
typic usag:amod
helper method:compound
method helper:compound
subscript oper:compound
oper subscript:compound
work oper:obl
helper method:compound
method helper:compound
subscript oper:compound
oper subscript:compound
work oper:obl
helper method:compound
method helper:compound
subscript oper:compound
oper subscript:compound
work oper:obl
list oper:compound
oper list:compound
subscript oper:compound
oper subscript:compound
assign oper:compound
oper assign:compound
oper collect:nsubj
collect oper:nsubj
assign operand:compound
operand assign:compound
operand index:conj
index operand:conj
replac item:nsubj
rang item:nmod
item rang:nmod
replac item:obl
collect item:nmod
item collect:nmod
list oper:compound
oper list:compound
subscript oper:compound
oper subscript:compound
assign oper:compound
oper assign:compound
index rang:nmod
rang index:nmod
replac item:nsubj
rang item:nmod
item rang:nmod
replac operand:obl
valu operand:compound
operand valu:compound
treat operand:nsubj
singl valu:amod
treat valu:obl
helper method:compound
method helper:compound
subscript oper:compound
oper subscript:compound
work oper:obl
helper method:compound
method helper:compound
subscript oper:compound
oper subscript:compound
work oper:obl
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
map oper:nmod
oper map:nmod
map return:dep
return map:dep
give preced:obj
result map:amod
valu map:nmod
map valu:nmod
operand valu:nmod
valu operand:nmod
left map:amod
link hash map tree map:conj
tree map link hash map:conj
hashtabl tree map:conj
tree map hashtabl:conj
properti tree map:conj
tree map properti:conj
return map:amod
preserv map:nsubj
preserv type:obj
return hash map:nsubj
return preserv:parataxis
preserv return:parataxis
equival map:obl
addit logic:amod
preserv logic:acl
left map:amod
map type:compound
type map:compound
preserv type:obj
common case:amod
case type:nmod
type case:nmod
helper method:compound
method helper:compound
subscript oper:compound
oper subscript:compound
work oper:obl
subscript oper:compound
oper subscript:compound
oper support:dep
support oper:dep
collect oper:nmod
oper collect:nmod
conveni method:compound
method conveni:compound
creat method:acl
immut map:amod
creat map:obj
conveni method:compound
method conveni:compound
creat method:acl
immut creat:obj
creat immut:obj
sort method:acl
sort map:obj
conveni method:compound
method conveni:compound
creat method:acl
immut list:amod
creat list:obj
conveni method:compound
method conveni:compound
creat method:acl
immut list:amod
creat list:obj
conveni method:compound
method conveni:compound
creat method:acl
immut creat:obj
creat immut:obj
sort method:acl
sort set:obj
conveni method:compound
method conveni:compound
creat method:acl
immut collect:amod
creat collect:obj
conveni method:compound
method conveni:compound
creat method:acl
synchron map:amod
creat map:obj
conveni method:compound
method conveni:compound
creat method:acl
synchron sort map:amod
creat sort map:obj
conveni method:compound
method conveni:compound
creat method:acl
synchron collect:amod
creat collect:obj
conveni method:compound
method conveni:compound
creat method:acl
synchron list:amod
creat list:obj
conveni method:compound
method conveni:compound
set method:nsubj
creat method:acl
conveni method:compound
method conveni:compound
creat method:acl
synchron sort set:amod
creat sort set:obj
spread map return:dep
return spread map:dep
map spread map:nmod
spread map map:nmod
show case:obj
note case:dep
groovi cover:nmod
cover groovi:nmod
spreadabl map:amod
creat map:obj
creat array:obl
spreadabl map:amod
creat map:obj
creat list:obl
spreadabl map:amod
creat map:obj
creat iter:obl
wrap map:obj
decor pattern:compound
pattern decor:compound
call intercept:dep
intercept call:dep
key wrap:dep
wrap key:dep
unknown key:amod
default valu:compound
valu default:compound
store valu:nsubj
store map:obl
return store:advcl
store return:advcl
default valu:compound
valu default:compound
valu result:nsubj
result valu:nsubj
store valu:acl
call result:acl
suppli closur:amod
call closur:obj
call key:obl
paramet key:nmod
key paramet:nmod
call closur:obl
lazi default alia:nmod
alia lazi default:nmod
decor lazi default:acl
decor list:obj
call grow:advcl
grow call:advcl
index valu:compound
valu index:compound
call valu:obl
normal bound:amod
list bound:compound
bound list:compound
bound valu:nmod
valu bound:nmod
zip iter:obj
zip indic:obl
valu indic:nmod
indic valu:nmod
index valu:appos
valu index:appos
order valu:dep
valu order:dep
zip iter:obj
zip indic:obl
index indic:nmod
indic index:nmod
valu index:appos
index valu:appos
order index:dep
index order:dep
zip iter:obj
zip indic:obl
